"City;Population"
"Nassau;238,132"
"Freeport;47,085"
"West End;13,004"
"Coopers Town;9,069"
"Marsh Harbour;5,728"
"Freetown;4,222"
"Bahamas City;3,827"
"Andros Town;2,318"
"Clarence Town;1,705"
"Dunmore Town;1,578"
"Rock Sound;1,447"
"Arthur's Town;1,216"
"Cockburn Town;1,045"
"George Town;1,038"
"Alice Town;936"
"Sweeting Cay;494"
"Matthew Town;435"
"Snug Corner;402"
"Great Harbour Cay;383"
"Nicholls Town;255"
"Colonel Hill;224"
"Pirates Well;201"
"Port Nelson;103"
"Duncan Town;63"
"Albert Town;23"
